
State Machine - |MIPS4712|MIPS_controller:controllercircuit|state
Name state.store_inregisterfile_lw state.storein_memorydataregister state.memaccess_lw_buffer state.memaccess_lw state.memaccess_SW state.compute_address state.store_inregisterfile_I state.compute_I state.store_inregisterfile_R state.compute_R state.decode state.fetch_buffer0 state.fetch 
state.fetch 0 0 0 0 0 0 0 0 0 0 0 0 0 
state.fetch_buffer0 0 0 0 0 0 0 0 0 0 0 0 1 1 
state.decode 0 0 0 0 0 0 0 0 0 0 1 0 1 
state.compute_R 0 0 0 0 0 0 0 0 0 1 0 0 1 
state.store_inregisterfile_R 0 0 0 0 0 0 0 0 1 0 0 0 1 
state.compute_I 0 0 0 0 0 0 0 1 0 0 0 0 1 
state.store_inregisterfile_I 0 0 0 0 0 0 1 0 0 0 0 0 1 
state.compute_address 0 0 0 0 0 1 0 0 0 0 0 0 1 
state.memaccess_SW 0 0 0 0 1 0 0 0 0 0 0 0 1 
state.memaccess_lw 0 0 0 1 0 0 0 0 0 0 0 0 1 
state.memaccess_lw_buffer 0 0 1 0 0 0 0 0 0 0 0 0 1 
state.storein_memorydataregister 0 1 0 0 0 0 0 0 0 0 0 0 1 
state.store_inregisterfile_lw 1 0 0 0 0 0 0 0 0 0 0 0 1 
